timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1527841551935376,-5,-7,-4,-8,5,-4,-32,-4
1527841551935376,6,1,3,1,1,14,3,-1
1527841551936373,-2,0,-6,0,3,-22,-4,-4
1527841551936373,3,-3,-2,-1,-8,-40,-22,3
1527841551949339,3,-5,-3,-6,-6,-40,-20,-2
1527841551949339,-1,-4,-9,-5,-4,26,-8,1
1527841551957317,1,-3,-5,-1,2,0,1,0
1527841551957317,-1,2,-3,0,-2,25,-6,-1
1527841551972277,-5,5,-2,-2,-8,-23,0,-2
1527841551972277,6,-2,-1,2,0,-47,-11,3
1527841551973275,2,-2,-8,-4,-12,44,18,4
1527841551973275,-1,3,-6,-7,-3,-4,23,0
1527841551995216,-3,5,7,4,11,-8,5,3
1527841551995216,0,-3,-3,1,2,58,22,-3
1527841551996214,-2,-1,-4,-2,7,9,-1,0
1527841551996214,-5,-1,5,0,6,-12,-7,-4
1527841552009183,-4,-5,-4,2,0,2,4,0
1527841552009183,-8,-4,-1,1,-9,-22,-8,-5
1527841552017157,1,2,0,-4,-1,-23,0,2
1527841552017157,2,-2,0,0,-3,24,6,-3
1527841552032117,-2,0,-4,-5,-10,1,-2,-2
1527841552032117,-1,2,5,5,3,-8,0,-1
1527841552033115,1,-1,-5,-2,11,-11,-9,-2
1527841552033115,-3,1,2,2,-3,-9,-4,-1
1527841552056053,-2,1,-4,2,-12,62,12,-6
1527841552056053,9,-5,-2,-5,-5,-34,8,-1
1527841552056053,-9,1,-3,3,-3,-23,-10,-3
1527841552056053,3,1,4,2,11,26,3,0
1527841552069019,-4,3,4,4,14,-6,-10,2
1527841552069019,5,-2,5,-3,-3,29,-2,2
1527841552076997,-6,-7,-1,2,0,-25,-20,-3
1527841552076997,2,-1,-3,0,-4,-3,4,-4
1527841552092955,-5,1,3,0,6,-2,-15,-2
1527841552092955,-3,-7,-11,0,-12,39,-18,-5
1527841552092955,4,-1,4,3,12,33,38,0
1527841552092955,-10,1,-3,-3,-1,-7,-2,1
1527841552115893,5,-1,-2,-4,-14,24,44,5
1527841552115893,-17,2,1,3,16,46,34,-5
1527841552116891,-6,5,6,2,0,16,12,5
1527841552116891,0,1,-1,8,6,15,17,3
1527841552128859,1,0,-2,-5,-9,-11,-4,-4
1527841552128859,1,7,5,6,9,-1,9,1
1527841552137835,0,-6,-8,-5,6,-9,-20,-3
1527841552137835,1,-8,0,-7,-7,-7,-33,-1
1527841552152794,4,-1,-3,9,24,2,-23,-4
1527841552152794,3,0,0,-1,-15,-13,-3,4
1527841552153793,3,-1,-4,-6,-3,-6,-18,-4
1527841552153793,4,-5,-1,-2,10,-19,-38,2
1527841552175733,-3,-2,1,1,-24,-13,0,0
1527841552175733,0,1,-7,-1,2,-17,-13,1
1527841552176731,0,-6,-2,0,2,-11,3,-1
1527841552176731,-3,3,1,-3,-9,24,12,-5
1527841552189696,-2,2,-3,0,1,-2,19,5
1527841552189696,-1,-1,4,5,8,-27,-10,-4
1527841552197675,0,-1,-3,-4,-13,-10,-7,-1
