timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1520336671296211,-7,-5,-7,-8,-20,-15,-15,-7
1520336671296211,-31,-4,0,-3,12,4,12,2
1520336671297214,15,-2,-3,-9,-2,-7,3,5
1520336671297214,2,21,12,3,-9,3,6,14
1520336671298216,16,-12,-7,-4,2,7,12,9
1520336671298216,-7,1,-4,-7,-16,-13,-13,1
1520336671301224,2,-2,1,-2,-5,0,-4,-25
1520336671301224,-48,-9,-9,-8,3,-5,4,27
1520336671308243,103,19,7,4,0,5,9,19
1520336671308243,-40,-4,-1,-6,-12,12,-8,2
1520336671317267,20,9,9,5,11,-5,-14,-10
1520336671317267,-43,-13,-7,-10,-4,-42,6,-10
1520336671324286,-35,-21,-5,-3,-20,23,5,-37
1520336671324286,24,-1,-2,-7,24,12,-6,0
1520336671338323,11,9,3,26,2,0,10,38
1520336671338323,20,-1,-5,-12,26,27,0,8
1520336671347347,-23,2,6,7,-7,-35,26,-1
1520336671347347,-41,3,4,10,25,0,-42,-33
1520336671362387,40,-1,1,8,6,-7,-4,-52
1520336671362387,19,1,5,7,2,-6,-5,18
1520336671369406,-11,10,-1,-4,8,12,0,-36
1520336671369406,35,-6,-11,-9,-23,-3,7,24
1520336671382440,68,11,-4,-8,2,-11,-2,15
1520336671382440,-1,-12,-5,-1,-13,16,-4,-20
1520336671425555,19,-5,-7,-4,-3,2,15,75
1520336671425555,74,14,7,2,1,-3,-4,28
1520336671428563,-21,-14,-5,-3,-6,-9,4,-17
1520336671428563,-30,2,5,-1,-4,-15,-17,-36
1520336671429566,-55,-8,-3,-4,-8,-4,-5,-69
1520336671429566,17,6,-1,-8,-5,-29,-10,58
1520336671430568,11,-1,-2,10,16,-7,6,12
1520336671430568,0,1,5,8,21,39,16,-20
1520336671434579,57,8,-4,-6,-15,2,-7,49
1520336671434579,-116,-14,-2,3,-4,2,7,-61
1520336671443603,83,11,5,-4,-8,-9,5,4
1520336671443603,-1,-15,-17,-8,-15,-6,-14,-5
1520336671449619,-1,-1,6,6,13,6,-3,-17
1520336671449619,-38,-15,-7,-7,-5,2,-11,-51
1520336671466664,34,7,4,-1,2,12,10,44
1520336671466664,14,-4,-8,-7,-5,-7,1,-7
1520336671472680,-11,-3,-1,0,0,-6,-5,-57
1520336671472680,-1,-7,-5,1,5,23,7,7
1520336671495742,-70,-7,-3,-1,-7,-14,-12,23
1520336671495742,-49,-6,-3,-5,-4,6,4,-12
1520336671496744,-3,5,-5,-3,-12,-34,-7,32
1520336671496744,-13,15,16,13,23,23,11,-67
1520336671510782,-60,-44,-29,-16,-21,-1,-14,-34
1520336671510782,-10,-1,3,2,26,18,-3,9
1520336671511784,55,13,-6,3,1,-1,6,17
1520336671511784,-1,-1,1,0,-4,-8,-8,-17
1520336671532840,13,12,14,11,14,2,-4,-6
1520336671532840,43,0,3,5,-10,-12,19,61
1520336671533843,-61,-9,-1,-6,0,-3,-9,-35
1520336671533843,11,20,-11,-13,-12,-15,-9,10
1520336671555902,-101,-29,-4,0,3,13,8,3
1520336671555902,43,15,14,5,4,0,0,-56
1520336671556905,-63,-11,-23,-16,-8,-12,-8,14
1520336671556905,72,3,14,10,1,7,5,-42
1520336671569939,127,15,-11,-12,-13,-6,-10,81
1520336671569939,-77,-13,10,13,8,-3,13,-52
1520336671577960,-6,-10,-16,-12,-4,9,-7,16
1520336671577960,-17,-5,-7,-11,-14,-23,-12,12
1520336671593000,-40,-7,3,4,-7,26,-2,-50
1520336671593000,63,21,7,-3,5,-21,-17,34
1520336671594003,-19,-7,7,6,9,8,-4,-11
1520336671594003,95,11,11,9,7,8,16,48
1520336671616062,-10,-25,-14,-4,-2,-7,-7,-30
1520336671616062,-38,12,-4,-5,-13,-4,3,32
1520336671616062,-26,21,31,18,11,13,13,-71
1520336671616062,87,-12,-1,0,6,4,12,43
