timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523010106918541,-3,33,-6,1,10,7,9,-7
1523010106918541,-19,-18,-5,2,4,-2,-3,5
1523010106919548,12,16,8,-3,6,2,-3,-4
1523010106919548,4,-24,-3,5,-4,-11,-21,-22
1523010106920552,5,12,1,-1,3,9,26,1
1523010106920552,13,-4,-4,-1,-6,-11,-12,-18
1523010106923555,20,-51,-14,-3,2,2,-2,15
1523010106923555,-17,14,14,1,-3,2,-2,-26
1523010106930573,14,10,-8,0,5,8,4,12
1523010106930573,10,-3,-3,-2,7,6,7,10
1523010106940600,-9,6,1,3,-5,-11,-14,-26
1523010106940600,-11,-46,-6,-5,-1,-10,3,4
1523010106945613,15,49,4,-2,-16,-23,-28,0
1523010106945613,3,5,-4,-4,1,24,21,-4
1523010106960654,32,-9,3,5,5,8,11,12
1523010106960654,-1,-3,0,-3,2,6,-4,-4
1523010106970689,-2,-9,-9,2,0,-5,-2,-1
1523010106970689,7,35,13,1,-4,-6,-18,-4
1523010106985720,-6,-5,-7,-4,-3,-5,-1,-5
1523010106985720,-7,7,17,5,2,4,17,10
1523010106991736,14,0,-12,-2,-3,9,1,6
1523010106991736,-14,-23,-8,-3,-7,-15,-12,-3
1523010107004771,-14,6,3,3,-2,11,7,-6
1523010107004771,-17,-9,1,-1,8,20,-11,-5
1523010107047885,-8,0,4,-2,-1,-38,-15,-4
1523010107047885,-1,-39,1,-4,-7,25,16,12
1523010107051896,0,0,-8,1,2,-4,15,3
1523010107051896,-2,23,2,0,-2,5,0,-3
1523010107051896,-3,1,1,3,3,-5,-4,-1
1523010107051896,2,-23,1,3,-1,-14,-17,-15
1523010107052899,7,20,-11,-6,-4,8,6,17
1523010107052899,-8,7,9,5,7,9,3,3
1523010107057912,9,5,-5,-6,-3,0,0,-2
1523010107057912,-28,-30,-4,-1,1,-1,3,7
1523010107064931,0,16,0,3,-5,-6,-11,-5
1523010107064931,18,5,-7,-5,-4,-5,21,12
1523010107072952,4,-5,3,-1,0,2,0,9
1523010107072952,-19,-11,3,-4,-3,4,-4,-5
1523010107087992,0,6,-3,1,2,6,-11,-2
1523010107087992,-1,6,-14,-4,-5,-8,-14,-15
1523010107095011,3,-5,5,2,0,2,1,-1
1523010107095011,17,2,7,6,15,21,-11,-9
1523010107119075,6,27,10,-4,-15,-55,-7,3
1523010107119075,-1,4,1,0,2,24,23,23
1523010107120078,6,-18,-8,-2,1,12,16,-1
1523010107120078,1,-5,0,4,3,1,-10,-15
1523010107133112,-20,0,-8,-4,3,-4,3,10
1523010107133112,3,-12,-10,-1,-3,-14,-19,-17
1523010107134115,-5,-9,-1,-7,-6,9,-10,-11
1523010107134115,16,6,22,3,-1,-2,23,35
1523010107156173,-10,15,4,4,5,13,-3,-21
1523010107156173,-7,-21,-19,-4,-6,-29,-21,-12
1523010107156173,-17,22,23,1,3,6,7,10
1523010107156173,-2,-14,-11,-4,-2,0,-3,-6
1523010107179234,4,2,-6,4,8,10,1,1
1523010107179234,13,0,-7,-6,-14,-30,-5,12
1523010107180238,-11,-13,4,-3,-2,17,-2,-4
1523010107180238,-10,1,0,-3,-5,6,11,-2
1523010107193272,-8,4,1,4,12,8,9,7
1523010107193272,8,19,7,-3,6,5,-14,-15
1523010107194275,0,-19,-14,7,3,-18,6,17
1523010107194275,-12,10,3,-9,-13,3,9,7
1523010107215330,9,-6,1,-1,2,15,-3,1
1523010107215330,6,-9,1,1,-3,-4,-12,-10
1523010107216333,-5,-2,-8,1,5,-4,8,3
1523010107216333,-25,-11,-13,-6,-1,-4,-2,-4
1523010107239394,12,11,9,6,-6,-16,-3,-4
1523010107239394,7,-1,-8,-7,-7,15,-1,0
1523010107239394,-13,1,16,-2,-8,2,-7,0
1523010107239394,-16,-4,-9,6,2,-21,-17,-14
1523010107253432,15,-7,-5,-4,10,32,20,19
1523010107253432,-10,5,10,-1,-11,-14,2,1
1523010107254435,10,-11,-12,-5,-4,4,0,-6
1523010107254435,13,3,2,2,2,-27,-11,-8
1523010107275491,-13,-7,-9,-3,-2,2,-22,-23
1523010107275491,4,7,12,-1,0,23,32,40
1523010107276494,15,1,-4,-3,9,-6,-1,17
1523010107276494,-15,-4,-5,-9,-25,-7,-9,-31
1523010107298552,-4,-20,-7,-1,1,9,-2,-4
1523010107298552,-6,19,11,9,4,5,10,-15
1523010107299554,-42,4,4,4,11,1,8,0
1523010107299554,31,7,-2,2,-1,-18,-5,7
1523010107313592,3,-6,-3,-5,-7,-2,-9,-1
1523010107313592,-11,-9,-9,3,5,3,-17,-3
1523010107314595,8,7,5,0,-5,-6,0,-1
1523010107314595,6,-3,4,-6,1,10,15,6
1523010107335651,1,30,6,0,-5,-14,-3,0
1523010107335651,2,-8,-2,-3,2,-2,-3,7
1523010107336654,10,-2,-10,-1,-1,2,-21,-15
1523010107336654,-10,-3,-5,-6,-18,8,18,5
1523010107358712,18,-21,-6,-5,10,-7,12,20
1523010107358712,-26,8,8,11,8,-14,-24,-26
1523010107359715,-12,-23,-16,8,15,3,-23,-17
1523010107359715,8,6,1,1,3,10,9,1
1523010107373752,-10,2,0,-10,-14,1,6,4
1523010107373752,-12,3,-5,-13,-7,-8,-13,1
1523010107373752,11,-11,-3,-1,-9,-7,-4,-2
1523010107373752,35,14,5,-2,17,3,5,12
1523010107395810,-21,-12,-7,6,8,6,3,-13
1523010107395810,1,-34,-9,-10,-7,-4,-3,7
1523010107396813,19,33,15,9,8,3,-10,-13
1523010107396813,-2,-1,1,2,11,2,23,11
1523010107417869,4,1,-5,-3,-9,-1,4,-7
1523010107417869,3,20,6,9,20,1,6,11
1523010107418872,16,0,-2,-6,-25,-14,6,-13
1523010107418872,10,6,3,4,9,9,-10,5
1523010107432909,-3,1,-6,-10,-2,-10,-17,-9
1523010107432909,-10,-25,-1,3,-5,-11,9,-20
1523010107433913,18,-32,-10,-13,-6,6,18,12
1523010107433913,-8,22,6,2,-4,6,-7,-17
1523010107455970,-9,13,6,-1,3,-6,0,9
1523010107455970,-5,2,3,6,19,19,10,-3
1523010107456973,6,-16,-2,-2,-2,0,9,18
1523010107456973,-8,-27,-15,-5,-6,-12,-25,-3
1523010107478029,-7,51,18,9,-1,-10,-23,-9
1523010107478029,-1,-2,-6,-10,-20,2,41,10
1523010107479032,-37,-35,-6,-1,2,5,-3,-20
1523010107479032,-3,9,5,5,-1,-8,-18,9
1523010107493069,-5,-3,-3,1,3,-1,0,5
1523010107493069,5,-20,-8,-2,2,-1,-15,-5
