timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523010286382814,9,11,-7,-3,-6,8,-2,-5
1523010286382814,0,10,11,-1,-8,2,5,10
1523010286383817,-8,-14,-2,2,7,-1,-7,-9
1523010286383817,5,1,-6,1,12,0,-2,5
1523010286384820,-1,-18,-6,-1,-3,-11,-4,5
1523010286384820,-5,-12,-6,-5,-3,2,5,-8
1523010286385822,-3,6,3,-4,8,10,0,-2
1523010286385822,-5,29,8,-10,-22,-5,2,4
1523010286386825,-1,-12,-2,10,25,-8,-10,0
1523010286386825,3,-20,-10,-7,-16,-6,-10,-1
1523010286399859,4,16,9,-1,1,3,5,-1
1523010286399859,6,0,2,-2,5,2,5,2
1523010286409893,5,0,-3,-7,-11,-7,0,0
1523010286409893,-5,-4,2,4,4,-5,-8,-17
1523010286416905,-1,-30,-8,-1,0,-1,-3,0
1523010286416905,8,16,4,0,-9,3,23,4
1523010286438963,-3,3,6,1,13,4,-3,1
1523010286438963,5,40,2,-1,11,1,-1,0
1523010286445982,-10,-18,-5,1,-6,-3,-9,-6
1523010286445982,0,-18,-7,-1,-7,-3,-12,-8
1523010286446985,1,-2,-1,-4,-1,-1,2,-4
1523010286446985,5,-4,0,-1,-7,0,-11,6
1523010286493108,-2,9,2,1,11,-1,1,6
1523010286493108,2,-5,-4,-22,-41,-16,-10,-8
1523010286494110,-1,-5,-2,-1,12,-4,-14,-2
1523010286494110,-5,-10,3,40,20,14,6,0
1523010286495113,-9,-13,0,1,-1,11,20,1
1523010286495113,8,28,-1,-2,15,6,7,7
1523010286498121,-15,-28,-5,-14,-18,-8,-7,-8
1523010286498121,6,25,4,-15,-12,-11,-17,-7
1523010286505139,-10,-10,0,6,12,4,5,-2
1523010286505139,3,1,-1,1,-5,1,-9,-2
1523010286513161,12,25,8,4,5,0,-15,-4
1523010286513161,-5,-19,-7,-4,4,-1,14,5
1523010286520179,0,-10,-1,3,-7,-2,-1,1
1523010286520179,6,6,-2,-6,21,0,2,2
1523010286536222,-8,-3,0,9,-18,-2,5,3
1523010286536222,-7,-18,3,-1,12,2,-7,-1
1523010286542238,15,30,0,1,-7,2,6,-5
1523010286542238,-18,-23,-7,3,-10,4,2,0
1523010286566302,-1,3,-3,2,18,1,-17,-7
1523010286566302,-3,-4,2,0,-2,-1,3,1
