timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1576145789269128,-4,-2,1,1,-2,-2,-1,0
1576145789269128,-5,-5,-3,-3,2,-1,-4,-2
1576145789270126,-5,2,-2,-2,3,3,1,-2
1576145789270126,-4,-2,-2,-4,1,-4,-2,0
1576145789270126,-4,-1,1,2,-3,-1,-1,-1
1576145789270126,4,1,-1,-1,0,-3,-1,-1
1576145789271123,3,-1,-3,2,0,-1,3,3
1576145789271123,-1,-2,-1,1,-3,-1,-2,0
1576145789278102,-1,1,1,1,-2,-2,-1,1
1576145789278102,-1,0,0,-2,-2,-1,0,-2
1576145789282092,2,3,1,1,0,1,-1,-2
1576145789282092,3,1,0,2,0,-9,-2,3
1576145789298050,0,-2,0,1,-2,0,-7,1
1576145789298050,1,0,1,1,2,3,1,4
1576145789306027,2,-1,-4,-1,-1,1,1,0
1576145789306027,-3,-6,-1,-1,-3,2,-2,-1
1576145789313010,-6,-2,-1,-4,1,-2,-2,0
1576145789313010,-1,-4,-2,0,-3,-1,-2,-4
1576145789335987,2,-1,0,0,3,-1,2,2
1576145789335987,-1,0,-3,-2,-2,-3,-1,0
1576145789365869,-1,-2,-5,-1,5,1,2,0
1576145789365869,-3,-4,0,-1,-1,0,-1,0
1576145789373845,0,-2,1,0,-5,-3,-4,3
1576145789373845,0,0,-1,-1,-1,-2,-3,2
1576145789374843,2,0,-1,-4,1,4,7,2
1576145789374843,-2,0,-3,0,-1,-2,-3,-4
1576145789375845,3,1,1,-1,-2,-3,-6,-5
1576145789375845,-1,-2,-1,-3,1,2,-3,-1
1576145789386856,0,-3,0,1,0,4,-2,-1
1576145789386856,0,-1,1,-2,1,2,1,-2
1576145789395790,-4,1,0,1,-2,-2,0,-1
1576145789395790,2,0,0,2,-3,-1,-1,-5
1576145789401814,0,0,-2,-2,-1,-3,-1,-1
1576145789401814,-3,0,-1,-2,-2,-1,0,0
1576145789418753,-2,-4,-1,0,1,-1,0,0
1576145789418753,0,-2,0,-1,0,-2,1,4
1576145789424709,1,0,1,2,1,0,1,-4
1576145789424709,-2,3,-3,-4,-1,2,0,-5
1576145789439718,0,0,0,1,-3,-1,2,5
1576145789439718,-2,-2,-5,1,1,-2,1,1
1576145789446694,1,0,1,-3,-3,1,2,0
1576145789446694,2,-2,2,3,-2,-1,2,-3
1576145789462642,-3,-4,-4,-6,0,-2,-3,-2
1576145789462642,-3,-1,-2,-5,0,-3,1,1
1576145789463607,4,1,-2,-1,1,4,-2,3
1576145789463607,0,-2,-3,1,0,-1,-3,-1
1576145789484583,-2,-1,-2,3,1,0,2,-2
1576145789484583,1,0,2,1,-2,2,-1,-4
1576145789485548,2,2,0,-2,1,-6,-3,0
1576145789485548,-2,-2,0,0,-2,0,-2,0
1576145789507488,-2,1,-1,-2,-2,-4,-2,2
1576145789507488,-3,1,0,0,1,-3,-1,-3
1576145789508489,-3,1,-1,-4,0,-1,-2,-7
1576145789508489,-1,-2,-2,-1,0,-3,1,1
1576145789522451,1,-2,0,3,-1,4,-2,-3
1576145789522451,-1,-2,-2,-1,-1,3,-4,-2
1576145789523449,-1,2,-1,0,0,-4,0,-1
1576145789523449,0,0,2,-2,-1,-2,-3,1
1576145789545390,-2,0,0,1,2,2,6,-2
1576145789545390,-1,1,0,-1,-2,2,-2,0
1576145789545390,0,-6,-2,0,0,8,-2,3
1576145789545390,1,3,-4,1,-2,-4,2,0
1576145789567331,0,1,1,-1,-1,-3,-1,-1
1576145789567331,-2,-2,1,4,1,3,2,4
1576145789568324,-2,4,-1,2,-3,-2,1,-4
1576145789568324,-1,-3,2,1,-2,-1,-4,1
1576145789582288,1,-2,-2,-2,-4,1,-5,-2
1576145789582288,-2,0,-2,0,0,-3,-3,-6
1576145789583283,0,-2,1,-2,-4,-6,-4,-4
1576145789583283,-1,-4,-2,-3,-1,0,2,2
1576145789605227,-3,-3,-3,-1,-1,-5,-1,2
1576145789605227,-3,-2,1,-1,-2,-2,-1,1
1576145789605227,-4,1,-3,1,2,-4,-1,-2
1576145789605227,-3,-1,-3,1,-1,0,0,-1
1576145789627168,2,2,2,0,-3,0,-5,6
1576145789627168,-2,-2,-3,1,-2,-2,-1,2
1576145789628168,2,-1,1,-2,-2,-1,3,2
1576145789628168,-1,-1,0,0,0,4,1,0
1576145789642129,-12,-3,-6,-5,0,-15,-5,-11
1576145789642129,-1,2,-2,-2,1,2,0,-3
1576145789643128,-1,-2,-3,-1,-2,-1,-6,-3
1576145789643128,-3,0,0,-1,1,0,2,1
1576145789665068,-2,-2,-4,-1,1,-4,-2,-6
1576145789665068,0,-1,1,-3,-4,-2,-1,-2
1576145789666064,-3,-2,-1,1,-2,-1,1,-2
1576145789666064,1,0,0,0,-2,-4,-3,-1
1576145789687043,-3,1,1,0,-2,2,-1,-1
