timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1522606507336380,5,9,8,1,-1,10,-9,-4
1522606507336380,0,5,-6,-4,0,2,-5,-3
1522606507337382,11,3,-1,2,8,25,3,3
1522606507337382,-16,-1,3,3,1,-61,5,0
1522606507338385,57,8,-5,-7,-16,0,-4,6
1522606507338385,-40,4,-5,-6,10,17,-2,-6
1522606507339388,-11,-5,5,4,-6,26,-8,0
1522606507339388,2,4,-3,2,0,7,4,0
1522606507349423,-23,-6,5,0,3,26,11,-1
1522606507349423,21,4,0,3,3,10,7,3
1522606507352423,-24,-3,-3,-2,14,-2,4,0
1522606507352423,5,5,5,-2,-15,-41,-27,-4
1522606507363452,15,-21,-10,1,4,1,3,3
1522606507363452,8,1,2,-2,-4,-20,-4,4
1522606507377489,-18,-2,5,3,3,9,-6,-2
1522606507377489,15,13,3,1,2,2,5,10
1522606507383505,-39,-4,-10,-5,-2,-22,-2,-6
1522606507383505,-31,-28,0,1,3,11,3,0
1522606507407569,7,4,4,-1,-2,-39,-13,-7
1522606507407569,29,4,-6,-8,-2,50,16,4
1522606507408572,-4,-20,2,-3,-21,-48,-40,0
1522606507408572,-7,7,3,4,1,-43,7,-4
1522606507444668,-9,2,-1,-6,-13,48,22,-5
1522606507444668,3,10,1,-3,-4,-55,-47,-9
1522606507445670,-13,-10,0,2,3,-4,31,1
1522606507445670,16,12,-2,-1,7,24,-2,4
1522606507447676,12,-6,-2,1,2,3,-9,0
1522606507447676,7,2,-3,-9,-5,54,9,-3
1522606507449682,-29,-14,-2,-1,-2,7,13,-3
1522606507449682,2,-6,-2,-1,0,-18,-17,-3
1522606507457702,9,7,0,3,6,3,20,4
1522606507457702,-10,-40,-3,3,0,3,11,2
1522606507466726,18,8,-1,-5,-4,-10,-19,-2
1522606507466726,-16,-16,-1,0,-9,-33,-57,-7
1522606507471740,4,10,-4,-4,7,7,70,4
1522606507471740,-17,-5,-4,0,-3,-3,0,-4
1522606507486780,0,-6,3,3,1,12,-14,1
1522606507486780,10,19,-5,1,-7,-20,43,2
1522606507494801,-8,-11,0,1,1,-11,-35,-5
1522606507494801,-2,10,-1,-2,-2,-23,-27,-4
1522606507509841,5,-2,-6,-1,1,7,10,2
1522606507509841,-10,-10,2,0,0,22,6,3
1522606507516860,-13,-2,0,-3,-2,-11,-22,-2
1522606507516860,-4,8,-1,0,-1,43,23,0
1522606507532902,2,11,0,-2,-6,-4,-19,-1
1522606507532902,-2,-14,0,1,7,38,2,2
1522606507533905,7,24,-1,-1,6,-50,-19,-4
1522606507533905,-6,-28,3,-1,2,4,54,6
1522606507554961,14,25,0,-2,-8,-13,-13,0
1522606507554961,-13,-7,-6,-2,5,7,7,0
1522606507555964,-2,12,2,-4,-7,10,-25,-2
1522606507555964,11,-4,-5,0,14,-3,2,1
1522606507578023,7,8,1,-3,-20,-55,0,0
1522606507578023,-1,-4,-3,-2,-4,6,14,-1
1522606507579025,14,0,0,2,-3,9,-18,3
1522606507579025,-11,5,-2,-5,-5,-7,-15,-11
1522606507593062,-5,-20,1,-1,12,17,31,1
1522606507593062,0,7,-3,-1,-7,-2,1,-4
1522606507594065,-7,-11,0,-5,-1,25,10,-4
1522606507594065,20,27,4,1,1,-24,-4,6
1522606507615121,0,-23,0,-3,0,-33,-17,-5
1522606507615121,-7,10,-3,-5,-1,1,6,1
1522606507616124,-13,-19,-4,7,3,13,28,-4
1522606507616124,-10,0,1,-1,-4,19,-20,4
1522606507638182,4,11,-1,-3,7,36,-9,-5
1522606507638182,-12,-20,3,5,3,-48,5,3
1522606507639185,27,6,0,-4,-13,-5,-3,4
1522606507639185,-6,-11,-4,0,2,8,2,2
1522606507653222,2,9,-6,2,8,10,-10,3
1522606507653222,11,5,5,0,-3,9,0,3
1522606507654225,-1,-5,4,5,-11,-4,-6,2
1522606507654225,13,12,-3,0,3,1,13,-2
1522606507675281,-3,4,3,4,-3,-13,-5,6
1522606507675281,-4,0,-1,-1,3,22,-31,-4
1522606507676284,2,-7,-5,-4,-1,-16,-6,3
1522606507676284,-30,-7,3,5,4,9,-3,1
1522606507698342,-1,3,-3,-5,-6,-6,3,-11
1522606507698342,14,5,-5,-2,1,-14,-9,1
1522606507698342,-13,-2,-3,-5,-3,46,20,-7
1522606507698342,-5,-3,-2,-2,-10,-99,-15,1
1522606507713382,4,4,-3,-3,4,25,9,0
1522606507713382,-4,5,3,0,4,18,-9,-12
1522606507713382,-9,-8,2,5,15,-4,-8,-11
1522606507713382,5,-6,-5,-3,-7,21,14,-14
1522606507735441,-15,-5,1,-1,-8,-18,-14,-3
1522606507735441,1,-1,-4,-4,-9,6,8,-2
1522606507736444,45,5,0,-1,-13,-28,-9,-1
1522606507736444,-50,-11,1,1,6,24,12,0
1522606507757500,10,-6,-9,-2,4,-15,-10,-5
1522606507757500,-4,3,5,0,1,20,-2,-3
1522606507758503,-17,-6,-1,1,2,-10,0,5
1522606507758503,27,9,1,0,-7,-13,-11,6
1522606507772540,-3,3,3,4,0,17,7,4
1522606507772540,-5,4,3,2,-1,-9,6,-5
1522606507773542,-4,-6,-2,1,24,-1,-8,1
1522606507773542,15,1,-1,-5,-18,46,10,-10
1522606507795601,-12,-4,-2,-3,-14,-1,1,1
1522606507795601,28,8,0,-3,2,-6,12,9
1522606507796604,-22,3,-7,-4,-6,-8,-9,3
1522606507796604,23,15,1,-2,9,12,-11,-3
1522606507817660,-37,-26,4,6,21,29,3,2
1522606507817660,7,7,-1,0,-6,8,7,-3
1522606507818663,-1,5,-1,-2,-7,-36,-26,2
1522606507818663,19,-3,-5,-3,-2,-10,-3,9
1522606507832700,-14,1,-5,-1,-2,8,1,-6
1522606507832700,-1,1,2,0,0,-11,-3,-5
1522606507833702,-14,-9,-3,4,18,-7,1,-7
1522606507833702,18,10,5,-4,-20,35,8,4
1522606507855761,3,-12,0,4,-1,-11,-31,-5
1522606507855761,-24,-8,-6,-4,-5,-4,-3,5
1522606507855761,20,4,2,2,0,7,3,-3
1522606507855761,-17,-6,-6,-1,8,-28,-21,-11
1522606507877820,12,5,7,2,0,-3,17,2
1522606507877820,12,1,1,1,2,8,-12,4
1522606507878823,-19,-11,-4,-4,-2,-1,-2,-5
1522606507878823,-25,-1,-6,-1,3,-13,4,1
1522606507892860,22,2,3,1,1,10,3,2
1522606507892860,-28,-11,0,-4,-2,6,2,-11
1522606507893863,17,6,-3,-5,-8,-18,4,4
1522606507893863,-24,-4,2,2,13,17,-5,1
1522606507915921,52,15,-4,-4,-6,-19,14,7
1522606507915921,-15,-17,-7,-5,-7,55,-28,-1
1522606507915921,-20,-3,-2,-3,-9,-38,4,-1
1522606507915921,20,3,1,1,1,-9,0,2
1522606507937979,-11,9,1,-2,-3,-11,-9,-1
1522606507937979,-16,3,7,3,10,-2,13,4
1522606507938982,33,-1,-7,-4,0,27,11,2
1522606507938982,3,1,2,1,-13,-38,-52,-9
1522606507953020,-10,-2,2,1,0,-26,13,2
1522606507953020,8,0,-3,-2,-8,-13,3,-1
1522606507954022,-16,0,3,2,6,21,12,0
1522606507954022,21,16,-3,3,1,-10,2,1
1522606507975078,11,-18,-3,-3,-10,20,-3,-1
