timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1526902025577949,-55,51,7,12,38,55,16,29
1526902025577949,-50,23,14,8,16,43,4,12
1526902025581939,17,-18,-4,0,12,13,-2,7
1526902025581939,-14,-9,-13,0,-15,-23,-8,-21
1526902025582936,-13,8,-3,-5,-12,-14,0,12
1526902025582936,-48,21,12,-1,1,17,1,9
1526902025583933,25,10,6,-1,-7,-30,-1,-1
1526902025583933,-13,-5,-13,-7,7,20,0,-17
1526902025588920,-12,-3,-9,-3,-10,-11,-5,11
1526902025588920,-4,0,14,2,3,0,6,-3
1526902025595901,30,-13,4,-3,-2,-23,-3,20
1526902025595901,-31,15,-21,-10,2,45,-3,-64
1526902025603880,15,3,2,6,46,24,3,16
1526902025603880,-12,5,7,0,-1,4,-2,-36
1526902025618840,5,-8,1,1,2,21,-5,2
1526902025618840,32,-23,-5,3,-1,-18,0,-14
1526902025623826,-20,15,3,-2,-23,-30,-3,-16
1526902025623826,8,1,-17,-11,-15,-14,0,34
1526902025638786,-26,8,21,6,24,26,-2,-13
1526902025638786,9,-11,-9,1,-10,-10,-6,4
1526902025647763,-4,24,6,0,-13,0,0,7
1526902025647763,-8,-13,11,3,1,-12,2,-26
1526902025687656,39,-10,4,2,1,1,3,14
1526902025687656,12,-3,-7,-1,-5,-10,-6,-10
1526902025688653,-13,14,2,2,1,1,-1,9
1526902025688653,-25,11,1,-5,-54,-43,2,28
1526902025688653,18,-29,-11,-2,36,33,1,2
1526902025688653,7,4,0,3,-4,-4,-4,-25
1526902025691645,-19,12,-8,-2,-7,-24,0,15
1526902025691645,-5,7,24,6,9,18,3,12
1526902025698626,9,-10,-7,-7,-9,1,-6,-3
1526902025698626,7,-19,-17,-1,1,3,3,-3
1526902025706605,-13,-2,-10,-3,-6,-2,3,16
1526902025706605,-4,30,21,2,14,3,-2,6
1526902025715582,10,-31,-5,-3,-7,-4,-1,7
1526902025715582,-4,7,-11,-3,8,6,-2,-9
1526902025729544,-14,0,-7,-3,-6,-4,2,11
1526902025729544,-3,-9,13,0,14,16,-2,-9
1526902025736525,5,-8,-18,-7,12,2,-6,-17
1526902025736525,24,5,13,5,-13,-30,-4,2
1526902025743506,-29,-10,-4,-1,-10,18,-1,-14
1526902025743506,-11,11,-2,-4,-17,-27,0,25
1526902025758466,23,-22,4,5,4,7,2,-12
1526902025758466,-13,7,-10,-5,-1,-2,-6,-55
1526902025766445,-7,7,9,0,3,2,0,12
1526902025766445,12,-10,-4,-2,5,-3,-1,-16
1526902025775421,-9,4,1,-3,-13,-22,-6,-5
1526902025775421,8,-14,-15,-3,10,14,6,32
1526902025789384,12,-5,1,1,-4,-2,-1,-8
1526902025789384,-9,9,-1,-5,7,23,-2,-33
1526902025798360,-10,14,21,6,10,-30,-4,8
1526902025798360,18,-2,-3,1,-7,0,-5,-16
1526902025804344,-16,-4,-3,-3,5,15,-2,-30
1526902025804344,1,-5,-3,-4,-1,-39,-4,18
1526902025819304,11,1,-5,-2,-11,16,2,5
1526902025819304,7,-17,-18,-5,-10,-12,-9,0
1526902025826285,-7,15,26,4,2,-3,3,29
1526902025826285,2,-20,-25,-3,24,37,8,9
1526902025835261,5,29,45,7,-22,-15,-4,-14
1526902025835261,11,-25,-11,2,13,-3,9,22
1526902025849223,4,3,-11,-4,-9,9,-5,-6
1526902025849223,-12,-17,-15,-6,4,-1,13,-16
1526902025858200,5,12,6,6,-4,0,7,27
1526902025858200,7,9,8,0,-8,11,9,3
1526902025864183,-20,-13,-1,0,1,-26,-4,-23
1526902025864183,11,22,19,8,9,23,-3,1
1526902025879144,3,-19,-27,-6,-5,-12,-4,-33
1526902025879144,-15,-5,-1,2,3,-1,2,9
1526902025886125,-19,33,18,10,-31,-36,-8,5
1526902025886125,22,9,0,-9,15,25,-3,1
1526902025895101,-3,-15,-7,-8,-5,5,5,-10
1526902025895101,1,-9,-6,0,5,11,3,0
1526902025909064,9,-8,-8,0,-7,-9,-1,0
1526902025909064,-11,7,-2,2,-12,-20,-8,1
1526902025918040,8,-3,2,5,-1,-6,-9,3
1526902025918040,-9,31,22,2,-12,-13,-6,-4
1526902025924024,-7,-42,-32,-12,24,26,8,7
1526902025924024,17,32,23,1,-6,-5,0,4
1526902025938984,6,-12,-18,-4,8,10,3,-9
1526902025938984,-10,-10,-8,0,0,5,-6,3
1526902025945965,22,-8,3,8,1,-8,-10,-42
1526902025945965,-28,-49,-45,-4,7,-8,-5,6
1526902025955939,-43,57,50,-6,-11,4,-3,-16
1526902025955939,29,-74,-47,-6,0,14,16,0
1526902025968903,-2,82,32,4,5,-1,-8,19
1526902025968903,30,-45,-19,-4,-16,-3,8,9
1526902025977880,1,-22,-23,-1,9,2,-6,-3
1526902025977880,-7,-9,-28,-20,-3,2,1,4
1526902025983863,-6,-9,11,3,6,18,9,-4
1526902025983863,-36,-9,-2,6,-2,-10,-5,-18
1526902025998824,13,-3,-18,-3,-6,-25,-5,6
1526902025998824,2,-3,13,3,9,12,-13,9
1526902026006802,23,-9,-9,2,6,-4,17,-18
1526902026006802,-9,7,12,1,-15,-5,-5,-8
1526902026015778,-5,6,-6,-3,64,98,5,-5
1526902026015778,1,3,-1,-3,-22,-71,-15,7
1526902026028744,29,-2,7,2,-1,5,-3,6
1526902026028744,4,2,14,1,-15,-39,2,3
1526902026037720,1,-6,-18,-6,36,48,2,-5
1526902026037720,7,4,-15,10,5,37,-4,-9
1526902026051682,-5,38,59,-4,25,-1,-6,21
1526902026051682,20,2,-12,-13,-1,11,9,-25
1526902026058663,-6,-12,-17,-2,-31,-32,0,2
1526902026058663,9,2,3,1,7,12,4,6
1526902026081602,-19,-35,-25,0,-12,-19,-6,13
1526902026081602,26,-4,-14,-7,-6,-11,-2,9
1526902026091575,9,-6,24,3,-7,-18,4,-3
1526902026091575,-32,34,20,-1,0,1,-2,-15
1526902026091575,-13,0,-5,1,-2,78,7,17
1526902026091575,31,-21,-1,-2,-16,-74,-12,7
1526902026097559,45,-4,-14,-1,-5,19,-2,-12
1526902026097559,-51,-12,7,-2,-5,-19,8,-26
1526902026112520,47,14,-3,-2,3,-6,2,54
1526902026112520,-70,11,2,0,30,64,-3,23
1526902026118504,22,-27,-6,-2,-39,-37,-2,10
1526902026118504,21,25,24,4,29,-1,-4,20
1526902026126482,-23,-12,-16,-6,26,27,-6,-46
1526902026126482,19,-6,9,7,-16,-28,2,11
1526902026135458,-16,15,2,-1,8,33,1,8
1526902026135458,10,-8,-4,0,2,-32,4,13
1526902026149421,-18,-8,-6,-3,-21,-44,0,-10
1526902026149421,-7,8,6,-1,37,31,-3,2
1526902026158397,-5,1,-9,-7,-23,0,-4,-6
1526902026158397,29,16,16,7,-30,-33,-11,-15
1526902026172359,-17,-24,-18,-6,22,16,0,-35
1526902026172359,-8,9,11,18,-11,-13,-4,6
1526902026179341,4,-7,-8,5,8,-23,5,-6
1526902026179341,7,0,4,0,-4,64,0,5
1526902026186322,10,7,5,-2,-39,-76,0,34
1526902026186322,-47,-24,-13,-12,-4,30,-12,-40
1526902026195298,-5,-48,-37,-10,16,-2,-1,-17
1526902026195298,-12,88,56,12,2,15,-8,3
1526902026209261,44,-31,-17,-1,-11,-11,3,-26
1526902026209261,8,-16,-5,-4,13,25,2,15
1526902026218237,12,-5,-7,2,-12,-30,-3,14
1526902026218237,-15,-9,-18,-11,-9,-9,-5,-28
1526902026232200,-26,-23,-25,-9,10,15,-6,4
1526902026232200,20,66,66,14,-5,-9,8,-13
1526902026239181,-2,-30,-26,-4,0,-6,0,1
1526902026239181,3,-7,-9,-6,-14,-39,8,6
1526902026246162,-27,4,1,-1,2,15,-3,15
