timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1526902838693398,35,7,0,1,0,1,0,2
1526902838693398,5,12,3,-1,0,-3,8,19
1526902838697390,-38,-19,-4,-3,-1,-5,-14,-2
1526902838697390,35,3,-5,-2,-1,5,10,-1
1526902838700379,-31,3,0,-2,-2,-5,2,1
1526902838700379,35,1,9,3,2,3,4,12
1526902838700379,7,24,-1,-1,-2,1,7,6
1526902838700379,-18,-7,0,-2,-1,-7,-20,-26
1526902838704368,-23,-20,-4,-4,-1,15,17,-19
1526902838704368,18,5,-1,2,1,6,3,40
1526902838712347,-44,-3,0,-1,-3,-7,-4,-18
1526902838712347,-5,-4,-4,-2,-2,-6,-4,-14
1526902838729302,7,9,1,-1,-1,3,-1,3
1526902838729302,-8,9,5,2,-1,-16,-8,-2
1526902838733291,27,-15,-4,-1,1,18,6,-5
1526902838733291,-31,0,-5,-2,-1,0,4,-9
1526902838748251,20,15,1,0,-3,-7,-8,3
1526902838748251,-25,-7,-4,-1,0,2,-2,-9
1526902838764212,-1,-7,-4,-2,-1,-9,0,2
1526902838764212,4,3,4,3,0,-1,-2,-2
1526902838766203,6,8,1,0,1,-1,-1,2
1526902838766203,5,-3,-4,-4,-6,-4,-3,3
1526902838812081,-11,3,1,2,1,2,5,-16
1526902838812081,19,8,5,1,0,4,4,28
1526902838813078,12,-3,0,1,0,3,-8,33
1526902838813078,3,-1,-6,-3,-3,6,-4,-19
1526902838816070,-1,-16,-3,-2,0,2,4,-7
1526902838816070,-12,20,-1,-1,-1,0,-4,-7
1526902838816070,3,-4,1,1,1,1,-1,-8
1526902838816070,0,-2,0,-2,-1,-2,2,-6
1526902838823051,0,-6,0,0,-1,-7,-4,8
1526902838823051,3,0,1,0,1,2,-8,2
1526902838830032,6,22,0,0,-1,-5,13,1
1526902838830032,3,-3,-1,0,-2,5,-5,-12
1526902838838011,2,3,1,-1,-1,0,0,-7
1526902838838011,6,-11,-2,-1,0,-3,8,17
1526902838852971,1,-12,-5,-5,-6,-15,-29,-21
1526902838852971,-23,5,4,6,4,-3,8,3
1526902838860950,-17,17,-4,-4,-4,-6,-11,-7
1526902838860950,25,-11,-2,0,0,2,-12,15
1526902838883888,0,2,3,0,0,2,10,0
1526902838883888,-19,-13,-4,-2,-2,-7,17,-14
1526902838884886,23,-12,-6,0,1,-1,-5,7
1526902838884886,-19,8,3,1,-1,-9,1,-10
1526902838897851,-4,-2,0,1,2,4,-7,14
1526902838897851,7,-3,0,-3,-18,7,-14,-7
1526902838898848,1,19,-1,0,10,4,35,1
1526902838898848,-4,-22,-9,-4,-2,-9,-11,-1
1526902838921787,-6,-12,-4,-3,1,2,20,3
1526902838921787,18,15,1,2,2,2,-9,2
1526902838921787,-17,-6,4,0,-10,0,-15,-2
1526902838921787,-13,-5,-1,-6,-13,-19,-10,-21
1526902838943728,2,13,7,5,-2,27,17,11
1526902838943728,7,-11,1,5,26,0,5,-6
1526902838944726,-22,17,-3,-3,-6,-21,-10,-9
1526902838944726,21,14,13,6,8,2,13,9
1526902838958688,-36,-8,-4,-5,-11,-1,9,-16
1526902838958688,34,0,-1,-2,-1,1,7,-2
1526902838958688,14,-3,6,3,6,4,-7,3
1526902838958688,-17,11,-6,-4,-2,4,2,-5
1526902838981627,2,5,0,-2,-2,-13,-17,-10
1526902838981627,-20,-17,-6,-2,-2,2,-3,-7
1526902838982625,9,-9,-5,-7,-1,-2,-2,2
1526902838982625,-12,5,1,1,-5,-8,-32,13
1526902839003568,10,-4,2,3,4,-6,-4,-8
1526902839003568,-14,9,1,1,6,5,44,-23
1526902839004565,34,-13,-1,3,2,28,-19,59
1526902839004565,-46,8,-3,-5,-8,-21,10,-45
1526902839018528,23,5,3,3,7,6,36,45
1526902839018528,-12,-15,-10,-9,-4,-10,-16,-7
1526902839019526,12,-4,6,5,1,2,4,-11
1526902839019526,15,29,2,1,2,-8,-3,12
1526902839040470,-14,-13,-7,-4,-11,7,-5,-13
1526902839040470,1,3,0,0,11,35,29,10
1526902839041467,8,-12,-7,-3,-13,-21,36,-7
1526902839041467,14,-18,3,3,1,8,13,15
1526902839064405,-62,-5,-13,-8,-7,-12,-23,-29
1526902839064405,7,-3,0,1,-13,-32,-14,1
1526902839064405,1,12,-2,-4,6,24,-2,-8
1526902839064405,1,-17,1,1,4,-6,-1,11
1526902839078368,5,1,-1,1,5,12,10,6
1526902839078368,-2,-15,-6,-3,-4,-8,-39,-18
1526902839079366,-21,9,-1,-3,-2,-2,4,-3
1526902839079366,3,-10,1,0,-1,21,16,-2
1526902839100309,34,9,2,1,6,12,-1,13
1526902839100309,-31,7,1,0,-1,29,32,7
1526902839101307,-18,-13,-2,-2,-6,-50,-39,-12
1526902839101307,2,-14,-3,-1,1,10,3,-5
1526902839124245,-18,1,-1,-2,-1,-21,-17,-26
