timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1526902879178127,-28,-36,-9,-1,0,0,0,-39
1526902879178127,22,2,0,0,-1,-1,-2,17
1526902879182117,-3,-23,-7,-2,0,0,-1,2
1526902879182117,62,-10,3,2,1,-1,-2,10
1526902879185109,34,10,-2,-1,-1,-1,4,25
1526902879185109,-12,-9,-1,-2,-1,0,-1,-10
1526902879186108,24,15,0,-3,-1,-3,-5,-1
1526902879186108,-14,-2,2,-2,0,-2,-1,-6
1526902879188103,2,-7,-6,-2,1,1,2,2
1526902879188103,-19,-21,-2,0,1,1,2,6
1526902879200069,-55,-27,1,2,-1,-4,-4,1
1526902879200069,-10,60,5,-1,-2,-3,-3,-25
1526902879214031,46,-10,-4,1,1,2,-1,-2
1526902879214031,-35,-8,-3,-3,-2,-1,-4,-16
1526902879218021,20,-11,6,0,-1,1,8,33
1526902879218021,-28,-20,-9,-4,-1,0,-2,-16
1526902879227994,-13,36,1,2,0,0,5,19
1526902879227994,-55,-20,-2,-3,-1,-3,-7,-28
1526902879248938,17,10,-4,1,-1,-1,-4,1
1526902879248938,0,-19,-2,0,-1,-2,-2,3
1526902879249936,18,-36,5,-1,-1,0,2,2
1526902879249936,30,39,9,3,-2,1,4,-7
1526902879296810,-10,-7,-1,-4,0,0,3,6
1526902879296810,-5,-18,-11,-6,-4,-2,-1,0
1526902879297807,-50,-34,5,4,3,-1,-3,-10
1526902879297807,19,9,9,1,-1,0,2,1
1526902879300800,-11,1,-5,2,0,-1,-7,-32
1526902879300800,8,3,-1,-3,-1,1,0,-11
1526902879301797,-45,-33,-12,-3,1,0,1,36
1526902879301797,11,46,13,1,-2,-2,3,-2
1526902879307781,-42,-38,-4,0,0,-3,-3,-14
1526902879307781,-20,-1,-2,-4,-3,1,2,14
1526902879316757,47,24,4,1,0,1,1,-7
1526902879316757,-26,-14,-9,0,0,0,1,16
1526902879322741,11,14,-3,-5,-5,0,3,8
1526902879322741,-15,-17,-4,0,-1,-2,-3,-16
1526902879337701,57,14,5,-2,0,0,3,16
1526902879337701,12,-7,-10,-7,-2,-4,-6,1
1526902879345679,18,6,4,0,0,-2,0,7
1526902879345679,-1,-6,-4,1,1,-1,-2,-11
1526902879368618,13,2,-1,-3,-1,3,4,14
1526902879368618,-15,-12,-5,-2,1,1,-3,3
1526902879369616,2,4,1,3,1,0,-5,-46
1526902879369616,-81,-16,-1,1,-1,-2,-8,-9
1526902879383578,22,28,0,-2,-4,-6,-3,9
1526902879383578,-15,-8,2,-2,-1,-1,-3,-7
1526902879384576,-3,-5,-6,-3,1,2,4,0
1526902879384576,35,3,4,4,1,-2,0,14
1526902879406517,-23,-6,-4,-4,-1,-3,-1,-29
1526902879406517,-76,-37,-4,0,-1,-2,-6,-16
1526902879406517,42,80,6,0,-3,-2,1,18
1526902879406517,5,-12,-6,-5,-2,3,2,-16
1526902879428458,17,16,-1,-1,-2,-4,-3,0
1526902879428458,-19,-15,-3,0,1,2,2,2
1526902879429456,-16,-21,-2,0,-1,0,-1,2
1526902879429456,-6,8,-7,-5,-2,-3,5,22
