timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1519732431972981,2,11,9,-3,0,-3,-4,-3
1519732431972981,-5,-10,-12,1,-3,1,0,0
1519732431973986,-13,0,-8,-11,-2,-3,1,-1
1519732431973986,-14,-9,5,8,1,1,-2,-2
1519732431986015,25,11,14,5,2,0,0,4
1519732431986015,3,-3,-17,-4,-13,-8,-6,-5
1519732431995039,-6,-4,2,0,2,2,3,1
1519732431995039,-5,-4,-11,1,7,-1,-1,-1
1519732432010080,-22,-9,7,1,1,3,3,1
1519732432010080,9,14,6,1,0,0,2,-1
1519732432011090,5,6,-7,-4,-4,-3,-1,1
1519732432011090,14,3,-7,-14,-7,-3,-3,0
1519732432032137,-23,-9,-4,2,-1,3,3,-3
1519732432032137,41,30,21,19,4,0,-3,5
1519732432034142,-44,-20,15,17,14,4,4,0
1519732432034142,35,22,-4,-9,-13,-10,-7,-3
1519732432046174,-18,-15,-15,-9,3,-2,-2,-3
1519732432046174,-16,-25,-33,-15,-7,-3,-6,-9
1519732432055198,-18,-14,5,-7,-2,2,2,0
1519732432055198,22,14,29,13,5,4,2,7
1519732432069236,-26,-11,3,12,-1,0,0,-3
1519732432069236,21,3,-3,-5,-4,-4,-3,1
1519732432076255,25,14,-19,-11,-7,-7,-6,-2
1519732432076255,-17,-12,-18,-11,-6,-2,-1,-5
1519732432092307,-14,-19,2,3,-2,1,0,-1
1519732432092307,-13,14,27,14,13,7,8,4
1519732432094313,57,34,-15,-5,-7,-4,-4,2
1519732432094313,-12,-15,-2,-4,-4,0,0,-1
1519732432106334,24,18,3,2,3,-5,-3,-2
1519732432106334,-39,-19,-2,-2,-6,2,1,-2
1519732432115358,-13,-18,1,-1,0,0,-2,-4
1519732432115358,1,5,2,4,4,1,1,1
1519732432129396,-9,-6,-8,-4,-5,-2,-2,-1
1519732432129396,6,1,-8,-11,-12,-6,-2,-2
1519732432131401,7,11,11,3,0,1,0,2
1519732432131401,-4,-1,0,2,3,-1,-1,-2
1519732432152457,-2,-3,0,3,2,-2,0,-1
1519732432152457,4,5,-1,-2,2,1,-1,0
1519732432154462,-35,-31,-3,-9,-9,0,3,-4
1519732432154462,45,32,-13,7,8,-2,-4,0
1519732432166494,19,16,19,2,1,1,-2,2
1519732432166494,5,8,9,9,7,3,5,10
1519732432175524,-17,-12,2,4,2,2,5,1
1519732432175524,-17,-11,-2,-3,-6,3,4,9
1519732432189556,1,5,-9,-8,-8,-2,-2,0
1519732432189556,-5,-18,-11,-7,2,-2,-5,-7
1519732432191565,-12,-6,-5,-1,-2,1,1,-2
1519732432191565,-8,-8,8,-10,-19,-1,2,0
1519732432212620,12,13,-1,19,35,4,-1,0
1519732432212620,-21,-9,15,6,8,6,7,3
1519732432213620,11,3,-6,-3,-7,-9,-10,-19
1519732432213620,2,5,-2,-1,-4,-1,-1,1
1519732432226660,-11,-22,-10,-12,-12,1,3,-3
1519732432226660,0,-8,-15,-10,-6,-4,-5,-6
1519732432234676,-17,-2,13,11,12,3,-18,-12
1519732432234676,-18,-11,7,8,6,1,2,6
1519732432249715,5,-4,-13,-14,-13,-8,-9,-4
1519732432249715,17,16,-6,-2,2,-3,-2,-1
1519732432255732,29,1,-6,-8,-10,-6,1,10
1519732432255732,-47,-23,14,13,9,6,4,4
1519732432272778,-12,-12,-2,1,0,0,0,0
1519732432272778,17,33,-11,-8,-7,-5,-1,-3
1519732432273782,1,-9,1,-5,-1,-5,-4,-6
1519732432273782,-10,-1,-6,-6,1,-1,0,-7
1519732432285816,-14,10,6,6,0,3,8,-1
1519732432285816,51,28,0,-1,-2,-3,-3,4
1519732432294836,-12,-8,-5,-9,-11,-3,-1,-6
1519732432294836,-1,-4,-5,8,26,0,-10,-6
1519732432309883,-15,-6,7,4,2,11,9,19
1519732432309883,-21,-22,6,4,-5,-6,-1,0
1519732432311881,-2,14,5,1,2,7,6,6
1519732432311881,27,11,-3,-3,-10,-3,-3,-7
1519732432331934,-7,0,27,15,5,-1,3,0
1519732432331934,-19,-17,-11,-3,3,0,-2,-12
1519732432333940,3,-10,-6,-7,-8,-4,-8,2
1519732432333940,-34,-24,-2,1,3,13,10,2
1519732432345971,13,4,-10,-8,-4,-5,-6,-7
1519732432345971,-7,-8,2,-3,-5,-2,-1,-2
1519732432355000,-11,-6,-1,-4,1,-4,1,0
1519732432355000,-40,-19,-2,-2,-4,-3,-6,-12
1519732432369033,38,24,-10,-4,-5,-7,-8,-5
1519732432369033,16,26,8,6,3,2,0,6
1519732432376058,-26,-9,13,14,16,17,9,3
1519732432376058,30,27,-7,-4,-11,-19,-3,4
1519732432400116,-5,5,13,-5,-6,0,4,-2
1519732432400116,-5,-10,-12,-4,-1,0,-2,2
1519732432401119,7,0,-10,-3,0,-9,0,3
1519732432401119,11,-4,2,-4,-8,-3,3,1
1519732432406131,-10,-11,-15,-4,-3,-11,-20,-12
1519732432406131,-3,0,8,3,8,18,14,9
1519732432415156,-1,0,0,4,1,3,8,3
1519732432415156,15,1,0,-4,-2,10,-4,6
1519732432429193,13,2,-8,-8,-13,-25,-4,8
1519732432429193,-16,-13,-6,3,-2,3,-1,-4
1519732432436212,19,18,22,8,3,5,7,9
1519732432436212,27,15,-3,-6,-8,-13,-12,-6
1519732432452254,-15,-10,3,5,14,17,8,-2
1519732432452254,10,3,0,1,-1,-12,-6,2
1519732432454261,3,0,-12,-10,-5,-1,0,-1
1519732432454261,-27,-24,-5,5,1,1,5,-3
1519732432466291,68,54,1,-2,-6,-3,-4,12
1519732432466291,-6,-2,1,0,0,-2,-4,-10
1519732432475317,-7,-1,5,2,2,1,-5,0
1519732432475317,-1,-3,-2,-3,-1,-2,-1,-3
1519732432489353,-13,-12,-13,-9,-3,1,0,-2
1519732432489353,-15,-17,-5,0,2,11,-5,-1
1519732432496371,11,10,-3,-1,-4,-24,-4,-1
1519732432496371,-8,4,3,-1,0,-7,6,-4
